Category        avg min/d

art              0.460426
auto             0.002328
beauty           0.003607
business         0.488285
dating           0.000291
events           0.004116
finance          0.135572
food             0.230613
gameboard        0.576414
gamecard         0.212256
gamecasino       0.045031
gameeducation    0.052807
gamemusic        0.591653
gameracing       0.445104
gametrivia       0.091913
gameword         0.329553
house            0.010603
libraries        0.003784
maps             0.032401
medical          0.423139
news             0.241164
parenting        0.003274
sports           0.425686
travel           0.445634
weather          0.046279
